evaluate_agent (LunarLanderContinuous-v2)
global_step=16956, episodic_return=[-164.314]
global_step=16956, episodic_return=[-267.19556]
global_step=17120, episodic_return=[-81.91185]
global_step=17248, episodic_return=[-54.66816]
global_step=17288, episodic_return=[-74.149765]
global_step=17428, episodic_return=[-278.33344]
global_step=17592, episodic_return=[-43.721405]
global_step=17716, episodic_return=[-136.84972]
global_step=17776, episodic_return=[-184.05803]
global_step=17888, episodic_return=[-49.246468]
global_step=18044, episodic_return=[-129.07948]
global_step=18156, episodic_return=[-73.68045]
global_step=18256, episodic_return=[-147.4567]
global_step=18408, episodic_return=[-3.6474838]
global_step=18432, episodic_return=[-54.16986]
global_step=18728, episodic_return=[-402.5664]
global_step=18740, episodic_return=[-89.23218]
global_step=18756, episodic_return=[-76.287415]
global_step=18916, episodic_return=[-163.03659]
global_step=19164, episodic_return=[-46.061028]
global_step=19200, episodic_return=[-135.68188]
global_step=19520, episodic_return=[-61.45837]
global_step=19648, episodic_return=[-91.95926]
global_step=19684, episodic_return=[-184.89807]
global_step=19688, episodic_return=[-191.05298]
global_step=20028, episodic_return=[-231.89104]
global_step=20152, episodic_return=[-141.13002]
global_step=20200, episodic_return=[-173.03328]
global_step=20392, episodic_return=[-109.681496]
global_step=20400, episodic_return=[-202.12921]
global_step=20544, episodic_return=[-186.99335]
global_step=20628, episodic_return=[-103.37274]
global_step=20756, episodic_return=[-63.56129]
global_step=20916, episodic_return=[-124.633446]
global_step=20968, episodic_return=[-206.86452]
global_step=21100, episodic_return=[-181.9484]
global_step=21296, episodic_return=[-99.51879]
global_step=21324, episodic_return=[-211.76898]
global_step=21340, episodic_return=[-92.5698]
global_step=21504, episodic_return=[-189.32886]
global_step=21656, episodic_return=[-55.939423]
global_step=21728, episodic_return=[-68.06992]
global_step=21760, episodic_return=[-95.725044]
global_step=22104, episodic_return=[-87.29004]
global_step=22124, episodic_return=[-51.239506]
global_step=22180, episodic_return=[-89.821945]
global_step=22220, episodic_return=[-132.04681]
global_step=22416, episodic_return=[-49.91024]
global_step=22764, episodic_return=[-176.30841]
global_step=22776, episodic_return=[-184.78888]
global_step=22824, episodic_return=[-309.99054]
global_step=22836, episodic_return=[-67.81969]
global_step=23124, episodic_return=[-24.778282]
global_step=23152, episodic_return=[-196.32474]
global_step=23212, episodic_return=[-13.356316]
global_step=23304, episodic_return=[-229.108]
global_step=23460, episodic_return=[-112.69513]
global_step=23580, episodic_return=[-317.3645]
global_step=23804, episodic_return=[-296.2547]
global_step=24036, episodic_return=[-109.57183]
global_step=24080, episodic_return=[-76.67203]
global_step=24112, episodic_return=[-93.62306]
global_step=24168, episodic_return=[-222.6514]
global_step=24460, episodic_return=[-123.35205]
global_step=24480, episodic_return=[-35.896614]
global_step=24548, episodic_return=[-114.205086]
SPS: 1032
global_step=24604, episodic_return=[-111.08049]
global_step=24808, episodic_return=[-133.77563]
global_step=25104, episodic_return=[-97.310875]
global_step=25136, episodic_return=[-77.521576]
global_step=25244, episodic_return=[-125.255394]
global_step=25348, episodic_return=[-351.76416]
global_step=25524, episodic_return=[-43.43424]
global_step=25600, episodic_return=[-115.38336]
global_step=25636, episodic_return=[-9.218025]
global_step=25800, episodic_return=[-413.7625]
global_step=26104, episodic_return=[-54.098953]
global_step=26180, episodic_return=[-297.67737]
global_step=26268, episodic_return=[-272.75842]
global_step=26400, episodic_return=[-361.23798]
global_step=26572, episodic_return=[-44.955498]
global_step=26736, episodic_return=[-173.4198]
global_step=26752, episodic_return=[-273.50793]
global_step=26892, episodic_return=[-100.24487]
global_step=26952, episodic_return=[-94.08056]
global_step=27088, episodic_return=[-77.78613]
global_step=27232, episodic_return=[-97.51224]
global_step=27428, episodic_return=[-117.36979]
global_step=27476, episodic_return=[-12.727341]
global_step=27556, episodic_return=[-36.157413]
global_step=27720, episodic_return=[-140.26523]
global_step=27804, episodic_return=[-122.34804]
global_step=27848, episodic_return=[-67.452705]
global_step=28040, episodic_return=[11.816963]
global_step=28308, episodic_return=[-316.05945]
global_step=28344, episodic_return=[-106.42416]
global_step=28348, episodic_return=[-71.84147]
global_step=28352, episodic_return=[-87.7446]
global_step=28672, episodic_return=[-21.451805]
global_step=28840, episodic_return=[-213.81691]
global_step=28940, episodic_return=[-86.37147]
global_step=29060, episodic_return=[-101.361984]
global_step=29124, episodic_return=[-4.432129]
global_step=29372, episodic_return=[-191.43405]
global_step=29492, episodic_return=[-19.938469]
global_step=29696, episodic_return=[-99.265076]
global_step=29820, episodic_return=[-110.35904]
global_step=29964, episodic_return=[-232.03339]
global_step=29980, episodic_return=[-240.71986]
global_step=30236, episodic_return=[-49.92379]
global_step=30316, episodic_return=[-71.40857]
global_step=30456, episodic_return=[-62.746788]
global_step=30472, episodic_return=[-115.92105]
global_step=30580, episodic_return=[-37.325253]
global_step=30852, episodic_return=[-93.28484]
global_step=31056, episodic_return=[-226.37062]
global_step=31164, episodic_return=[-11.037216]
global_step=31184, episodic_return=[-209.03485]
global_step=31568, episodic_return=[-80.388855]
global_step=31572, episodic_return=[-408.22424]
global_step=31596, episodic_return=[-99.79436]
global_step=31888, episodic_return=[-27.674835]
global_step=31932, episodic_return=[-16.732437]
global_step=31940, episodic_return=[-75.869]
global_step=31952, episodic_return=[-296.72293]
global_step=32284, episodic_return=[-225.31586]
global_step=32360, episodic_return=[-24.069855]
global_step=32388, episodic_return=[-239.54362]
global_step=32612, episodic_return=[-36.257755]
global_step=32620, episodic_return=[-118.39627]
SPS: 1152
global_step=32936, episodic_return=[-145.21037]
global_step=32956, episodic_return=[-8.750107]
global_step=33044, episodic_return=[-75.02378]
global_step=33056, episodic_return=[-100.5565]
global_step=33420, episodic_return=[-167.5998]
global_step=33460, episodic_return=[-39.49321]
global_step=33664, episodic_return=[-23.012741]
global_step=33844, episodic_return=[-28.323952]
global_step=33864, episodic_return=[-4.0682144]
global_step=34104, episodic_return=[-146.28574]
global_step=34216, episodic_return=[-4.773514]
global_step=34396, episodic_return=[-3.4748383]
global_step=34500, episodic_return=[-23.2499]
